,D0V1,D0V2,D0V3,D0V4,D0V5,D0V6,D10S1,D10S2,D10S3,D10S4,D10S5,D10S6,D10SBd1,D10SBd2,D10SBd3,D10SBd4,D10SBd5,D10SBd6,D10V1,D10V3,D10V4,D10V5,D10V6,D10V7,D10VBd1,D10VBd2,D10VBd3,D10VBd4,D10VBd5,D10VBd6,D21S10,D21S11,D21S5,D21S7,D21S8,D21S9,D21SBd12,D21SBd13,D21SBd14,D21SBd7,D21SBd8,D21SBd9,D21V11,D21V12,D21V13,D21V14,D21V16,D21V7,D21VBd11,D21VBd13,D21VBd14,D21VBd7,D21VBd9
ASV15,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
ASV17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0
ASV20,133,16,37,65,21,0,305,421,82,262,191,897,30,0,41,38,407,50,392,20,27,0,158,669,492,567,170,2753,97,39,112,55,21,24,102,0,33,0,0,0,82,17,15,0,15,27,74,240,27,299,218,351,0
ASV21,0,0,0,0,0,0,0,0,0,0,0,0,323,49,186,126,1242,79,0,0,0,0,0,0,1535,2783,1446,432,651,9,0,0,0,0,0,0,149,0,0,19,19,179,0,0,0,0,0,0,12,47,107,93,13
ASV22,0,0,0,61,0,0,0,63,21,0,28,67,757,26,117,347,867,123,0,0,0,0,0,0,616,1192,984,1203,97,21,0,0,62,0,62,0,458,0,0,45,723,756,0,0,0,0,0,0,12,672,10,60,17
ASV23,0,0,0,0,0,0,256,653,631,48,59,57,2861,31,58,1590,770,0,296,16,46,30,140,0,360,226,785,47,0,0,0,0,87,34,0,0,0,0,0,19,0,0,0,0,0,78,0,0,0,0,0,0,0
ASV25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV26,498,95,812,524,113,115,56,24,89,195,87,28,0,0,0,0,0,0,0,23,190,0,43,192,0,0,0,0,0,0,280,2016,498,26,336,1041,0,0,0,0,0,0,0,7,0,66,27,215,0,0,0,0,0
ASV27,205,59,31,133,61,29,953,543,860,281,645,785,33,0,30,24,51,18,432,30,0,22,164,448,140,62,152,116,0,21,73,80,223,47,84,30,0,0,18,0,13,30,0,0,0,114,59,25,65,0,113,25,0
ASV29,16,0,0,0,11,39,25,0,49,54,109,196,0,0,0,84,0,0,17,0,0,0,0,576,806,76,1428,222,37,43,0,51,0,31,0,27,0,8,0,0,82,224,0,63,0,0,0,0,0,0,2895,0,0
ASV30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV32,71,0,0,31,24,0,102,111,100,0,103,200,125,0,113,81,754,18,56,0,0,0,21,0,504,1320,534,221,506,0,122,0,74,48,66,0,56,0,0,0,47,71,0,462,0,16,0,13,59,0,146,68,0
ASV33,208,38,376,152,42,48,0,11,303,0,0,2,0,0,139,153,0,14,0,0,0,0,0,0,0,0,0,0,58,127,68,525,316,0,95,324,60,0,0,1915,285,48,0,0,0,79,0,0,1,0,0,473,0
ASV34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV36,31,0,0,0,0,0,0,0,43,0,133,0,97,0,0,43,351,0,277,0,20,0,89,0,610,1706,1083,182,245,0,0,0,67,0,0,0,0,0,0,0,0,277,0,0,0,34,36,44,44,84,0,0,0
ASV37,52,0,0,27,15,0,126,98,52,18,48,120,146,0,39,154,520,34,60,0,0,0,0,36,364,373,455,1630,54,0,0,0,0,0,35,0,33,0,0,0,220,84,0,0,0,0,46,60,57,49,306,120,0
ASV38,0,111,92,155,154,219,152,48,18,70,83,37,68,70,212,103,0,39,35,102,72,92,102,0,0,0,0,0,0,0,0,0,0,0,0,0,164,359,223,123,154,274,95,0,131,112,135,106,174,466,223,161,169
ASV40,0,0,0,0,0,4,60,62,97,27,0,28,83,11,19,120,162,35,0,0,0,0,6,72,531,731,753,375,94,0,68,8,161,16,17,16,98,0,4,10,500,0,0,60,0,58,10,0,6,41,146,8,9
ASV41,0,0,0,0,0,0,140,1117,2024,188,8,495,0,0,7,19,20,8,0,0,0,0,9,17,0,0,0,3,0,0,0,38,196,169,0,12,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
ASV42,1855,557,765,792,339,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV43,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,0,0,3937,0,0,0,0,130,0,0,0,0,0,123,0,0,0,0,0,0
ASV44,46,0,0,10,0,0,201,293,1169,87,23,162,0,0,8,84,0,13,28,19,0,0,0,68,12,0,98,0,0,0,13,875,0,79,0,65,10,0,0,0,202,192,0,298,0,0,0,0,0,0,32,0,97
ASV46,0,0,0,0,0,0,643,489,342,186,699,531,0,0,0,0,0,0,425,0,0,0,76,189,0,0,0,0,0,0,134,5,278,76,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0
ASV47,0,0,0,0,0,0,407,239,248,64,0,310,88,26,22,61,84,46,349,15,33,33,115,109,202,266,80,3,0,0,111,0,46,74,15,0,65,0,48,0,282,493,0,0,0,0,32,30,0,0,50,0,0
ASV48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,55,60,297,82,0,14,0,0,0,0,0,0,0,0,0,0,0,13,188,2437,0,0,0,0,0,53,702,58,39
ASV50,337,76,112,437,97,97,23,10,235,161,143,0,0,0,5,407,0,0,0,0,0,0,0,0,201,0,0,0,104,59,0,0,0,0,0,374,30,0,0,0,68,104,0,0,0,0,0,0,12,0,715,0,0
ASV52,9,0,8,7,6,7,78,0,66,0,0,0,20,0,0,0,0,5,240,0,0,762,0,11,0,0,0,0,0,0,0,1358,17,59,141,0,5,17,0,0,0,0,0,0,0,0,821,0,0,11,101,0,0
ASV54,0,0,0,0,0,0,122,131,142,19,52,93,139,0,41,132,255,25,66,12,0,0,58,24,261,236,377,73,105,8,48,8,211,51,104,0,34,0,0,0,97,188,0,15,0,87,32,77,23,27,30,0,0
ASV55,87,0,0,48,0,0,0,0,0,0,51,0,19,0,0,23,319,13,119,0,0,27,0,0,161,597,274,219,346,0,33,0,66,64,20,0,45,0,0,0,40,301,0,0,0,62,20,22,118,81,0,45,27
ASV56,49,0,0,33,26,0,29,0,84,21,129,41,0,0,0,38,0,0,12,26,0,0,15,65,30,0,99,0,0,0,0,44,0,17,0,0,0,0,0,0,75,0,23,2234,0,0,43,0,0,0,12,0,15
ASV57,0,0,0,0,0,0,30,78,80,15,0,35,156,19,95,226,282,17,24,0,0,0,24,27,454,229,316,90,76,14,57,0,36,34,36,0,18,0,0,0,119,235,0,0,0,36,0,35,16,21,174,14,0
ASV58,0,0,0,0,0,0,144,70,69,0,0,46,176,0,22,182,110,15,136,12,0,19,69,18,240,238,243,13,58,0,83,0,108,37,326,11,31,0,0,0,72,102,0,0,0,36,78,26,0,25,0,0,0
ASV59,0,0,0,0,0,0,401,217,360,96,0,225,0,0,0,0,0,0,0,0,0,0,0,26,63,104,0,151,14,4,117,60,573,35,72,20,0,0,0,0,0,11,0,236,0,0,0,0,0,0,0,0,17
ASV60,0,0,0,0,0,0,148,161,102,37,9,114,408,0,134,119,1172,0,0,0,0,0,0,0,0,119,75,0,20,0,0,0,97,21,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0
ASV62,0,0,0,1,0,0,106,33,80,0,0,32,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,48,1229,0,0,35,907,0,1,0,0,1,3,0,0,0,16,0,53,0,0,0,0,0
ASV63,14,0,7,13,0,0,121,192,15,8,25,11,0,8,0,29,0,28,119,0,0,0,5,0,21,48,22,0,88,0,0,94,10,59,91,0,0,0,0,85,368,81,6,0,0,0,420,223,42,9,0,10,0
